pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,llm_answer,correct,raw_response,latency_s,model,prompting_setting,timestamp
D_43210_63,non-mated,diagnostic_impostor,cross,43210,43210,left,right,B,A,0,A,0.68,qwen25vl,zero_shot,2026-08-22T22:07:33
G_58398_left_1287,mated,primary_genuine,cross,58398,58398,left,left,A,B,0,B,0.361,qwen25vl,zero_shot,2026-08-22T22:07:33
G_56583_left_842,mated,primary_genuine,cross,56583,56583,left,left,A,B,0,B,0.366,qwen25vl,zero_shot,2026-08-22T22:07:34
I_14493_83742_left_s,non-mated,primary_impostor,same,14493,83742,left,left,B,A,0,A,0.372,qwen25vl,zero_shot,2026-08-22T22:07:34
I_57145_65052_left_x,non-mated,primary_impostor,cross,57145,65052,left,left,B,B,1,B,0.366,qwen25vl,zero_shot,2026-08-22T22:07:35
I_56583_93812_left_s,non-mated,primary_impostor,same,56583,93812,left,left,B,A,0,A,0.364,qwen25vl,zero_shot,2026-08-22T22:07:35
I_24101_57145_left_s,non-mated,primary_impostor,same,24101,57145,left,left,B,A,0,A,0.361,qwen25vl,zero_shot,2026-08-22T22:07:35
G_83742_left_2229,mated,primary_genuine,cross,83742,83742,left,left,A,A,1,A,0.354,qwen25vl,zero_shot,2026-08-22T22:07:36
G_57833_left_1183,mated,primary_genuine,same,57833,57833,left,left,A,A,1,A,0.351,qwen25vl,zero_shot,2026-08-22T22:07:36
G_69658_left_1866,mated,primary_genuine,same,69658,69658,left,left,A,A,1,A,0.352,qwen25vl,zero_shot,2026-08-22T22:07:36
I_24101_57145_left_x,non-mated,primary_impostor,cross,24101,57145,left,left,B,B,1,B,0.352,qwen25vl,zero_shot,2026-08-22T22:07:37
G_24101_right_301,mated,primary_genuine,cross,24101,24101,right,right,A,A,1,A,0.351,qwen25vl,zero_shot,2026-08-22T22:07:37
D_56583_99,non-mated,diagnostic_impostor,same,56583,56583,left,right,B,A,0,A,0.354,qwen25vl,zero_shot,2026-08-22T22:07:37
G_63029_left_1482,mated,primary_genuine,same,63029,63029,left,left,A,A,1,A,0.348,qwen25vl,zero_shot,2026-08-22T22:07:38
I_24101_87757_right_x,non-mated,primary_impostor,cross,24101,87757,right,right,B,B,1,B,0.353,qwen25vl,zero_shot,2026-08-22T22:07:38
G_89171_left_2506,mated,primary_genuine,cross,89171,89171,left,left,A,B,0,B,0.374,qwen25vl,zero_shot,2026-08-22T22:07:38
G_43210_left_580,mated,primary_genuine,same,43210,43210,left,left,A,A,1,A,0.378,qwen25vl,zero_shot,2026-08-22T22:07:39
I_44595_47904_left_s,non-mated,primary_impostor,same,44595,47904,left,left,B,A,0,A,0.36,qwen25vl,zero_shot,2026-08-22T22:07:39
G_44595_left_742,mated,primary_genuine,same,44595,44595,left,left,A,B,0,B,0.355,qwen25vl,zero_shot,2026-08-22T22:07:40
I_89171_96608_right_s,non-mated,primary_impostor,same,89171,96608,right,right,B,A,0,A,0.372,qwen25vl,zero_shot,2026-08-22T22:07:40
G_65030_left_1658,mated,primary_genuine,cross,65030,65030,left,left,A,A,1,A,0.35,qwen25vl,zero_shot,2026-08-22T22:07:40
I_65030_65052_left_x,non-mated,primary_impostor,cross,65030,65052,left,left,B,B,1,B,0.354,qwen25vl,zero_shot,2026-08-22T22:07:41
I_20294_47904_right_x,non-mated,primary_impostor,cross,20294,47904,right,right,B,A,0,A,0.363,qwen25vl,zero_shot,2026-08-22T22:07:41
G_20294_right_224,mated,primary_genuine,same,20294,20294,right,right,A,A,1,A,0.351,qwen25vl,zero_shot,2026-08-22T22:07:41
I_47904_58793_left_s,non-mated,primary_impostor,same,47904,58793,left,left,B,A,0,A,0.363,qwen25vl,zero_shot,2026-08-22T22:07:42
D_44595_73,non-mated,diagnostic_impostor,same,44595,44595,left,right,B,B,1,B,0.339,qwen25vl,zero_shot,2026-08-22T22:07:42
I_56583_96608_right_x,non-mated,primary_impostor,cross,56583,96608,right,right,B,A,0,A,0.358,qwen25vl,zero_shot,2026-08-22T22:07:42
D_14493_8,non-mated,diagnostic_impostor,same,14493,14493,left,right,B,B,1,B,0.345,qwen25vl,zero_shot,2026-08-22T22:07:43
D_47904_92,non-mated,diagnostic_impostor,cross,47904,47904,left,right,B,A,0,A,0.35,qwen25vl,zero_shot,2026-08-22T22:07:43
I_32467_43210_right_s,non-mated,primary_impostor,same,32467,43210,right,right,B,A,0,A,0.369,qwen25vl,zero_shot,2026-08-22T22:07:44
G_74850_right_2037,mated,primary_genuine,cross,74850,74850,right,right,A,B,0,B,0.364,qwen25vl,zero_shot,2026-08-22T22:07:44
I_32467_65030_right_x,non-mated,primary_impostor,cross,32467,65030,right,right,B,A,0,A,0.351,qwen25vl,zero_shot,2026-08-22T22:07:44
G_20294_left_134,mated,primary_genuine,same,20294,20294,left,left,A,A,1,A,0.376,qwen25vl,zero_shot,2026-08-22T22:07:45
G_47904_right_832,mated,primary_genuine,cross,47904,47904,right,right,A,A,1,A,0.353,qwen25vl,zero_shot,2026-08-22T22:07:45
I_57145_89171_right_x,non-mated,primary_impostor,cross,57145,89171,right,right,B,B,1,B,0.368,qwen25vl,zero_shot,2026-08-22T22:07:45
G_76957_left_2098,mated,primary_genuine,same,76957,76957,left,left,A,A,1,A,0.358,qwen25vl,zero_shot,2026-08-22T22:07:46
I_14493_20294_right_x,non-mated,primary_impostor,cross,14493,20294,right,right,B,A,0,A,0.362,qwen25vl,zero_shot,2026-08-22T22:07:46
D_76957_225,non-mated,diagnostic_impostor,same,76957,76957,left,right,B,B,1,B,0.361,qwen25vl,zero_shot,2026-08-22T22:07:46
G_76957_left_2119,mated,primary_genuine,same,76957,76957,left,left,A,A,1,A,0.355,qwen25vl,zero_shot,2026-08-22T22:07:47
D_69658_194,non-mated,diagnostic_impostor,cross,69658,69658,left,right,B,A,0,A,0.347,qwen25vl,zero_shot,2026-08-22T22:07:47
G_32467_right_505,mated,primary_genuine,same,32467,32467,right,right,A,A,1,A,0.359,qwen25vl,zero_shot,2026-08-22T22:07:47
