pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
I_00002373_00002383_frgp13,impostor,13,right,2373,2383,B,65,65,0.473,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:21
I_00002373_00002409_frgp14,impostor,14,left,2373,2409,B,65,65,0.296,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:21
I_00002371_00002415_frgp14,impostor,14,left,2371,2415,B,65,65,0.295,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:21
I_00002357_00002367_frgp13,impostor,13,right,2357,2367,B,85,85,0.295,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:22
I_00002356_00002403_frgp14,impostor,14,left,2356,2403,B,65,65,0.293,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:22
I_00002409_00002424_frgp14,impostor,14,left,2409,2424,B,65,65,0.294,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:22
I_00002344_00002362_frgp13,impostor,13,right,2344,2362,B,65,65,0.292,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:23
I_00002394_00002406_frgp13,impostor,13,right,2394,2406,B,65,65,0.292,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:23
I_00002303_00002428_frgp13,impostor,13,right,2303,2428,B,85,85,0.294,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:23
I_00002358_00002374_frgp13,impostor,13,right,2358,2374,B,65,65,0.292,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:23
I_00002355_00002455_frgp14,impostor,14,left,2355,2455,B,65,65,0.292,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:24
I_00002405_00002406_frgp13,impostor,13,right,2405,2406,B,65,65,0.292,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:24
I_00002356_00002409_frgp13,impostor,13,right,2356,2409,B,85,85,0.292,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:24
I_00002360_00002369_frgp13,impostor,13,right,2360,2369,B,85,85,0.293,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:25
I_00002360_00002481_frgp13,impostor,13,right,2360,2481,B,65,65,0.294,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:25
I_00002339_00002352_frgp14,impostor,14,left,2339,2352,B,65,65,0.306,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:25
I_00002312_00002340_frgp14,impostor,14,left,2312,2340,B,65,65,0.317,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:25
I_00002319_00002380_frgp13,impostor,13,right,2319,2380,B,65,65,0.316,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:26
I_00002348_00002367_frgp14,impostor,14,left,2348,2367,B,65,65,0.317,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:26
I_00002395_00002405_frgp13,impostor,13,right,2395,2405,B,65,65,0.316,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:26
I_00002401_00002405_frgp14,impostor,14,left,2401,2405,B,0,0,0.294,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:27
I_00002399_00002415_frgp14,impostor,14,left,2399,2415,B,95,95,0.307,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:27
I_00002399_00002440_frgp14,impostor,14,left,2399,2440,B,65,65,0.294,Qwen3-VL-8B-Instruct,similarity_score,2026-06-13T17:14:27
