pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
G_2356_frgp13,genuine,13,right,00002356,00002356,A,100,100,0.472,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:18
G_2372_frgp14,genuine,14,left,00002372,00002372,A,85,85,0.318,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:18
I_00002304_00002312_frgp13,impostor,13,right,00002304,00002312,B,65,65,0.24,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:19
G_2394_frgp14,genuine,14,left,00002394,00002394,A,85,85,0.319,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:19
I_00002304_00002463_frgp13,impostor,13,right,00002304,00002463,B,65,65,0.239,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:19
I_00002330_00002447_frgp14,impostor,14,left,00002330,00002447,B,85,85,0.238,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:19
I_00002304_00002386_frgp13,impostor,13,right,00002304,00002386,B,65,65,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:20
G_2351_frgp13,genuine,13,right,00002351,00002351,A,100,100,0.331,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:20
G_2418_frgp14,genuine,14,left,00002418,00002418,A,100,100,0.341,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:20
I_00002304_00002425_frgp13,impostor,13,right,00002304,00002425,B,65,65,0.241,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:21
G_2359_frgp13,genuine,13,right,00002359,00002359,A,100,100,0.342,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:21
G_2392_frgp14,genuine,14,left,00002392,00002392,A,95,95,0.321,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:21
I_00002304_00002341_frgp13,impostor,13,right,00002304,00002341,B,65,65,0.24,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:21
I_00002330_00002339_frgp14,impostor,14,left,00002330,00002339,B,65,65,0.24,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:22
G_2403_frgp13,genuine,13,right,00002403,00002403,A,100,100,0.341,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:22
G_2373_frgp13,genuine,13,right,00002373,00002373,A,100,100,0.342,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:22
