pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,llm_answer,raw_response,correct,latency_s,model,prompting_setting,timestamp
G_2356_frgp13,genuine,13,right,00002356,00002356,A,A,A,True,0.563,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:14
G_2372_frgp14,genuine,14,left,00002372,00002372,A,A,A,True,0.393,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:15
I_00002304_00002312_frgp13,impostor,13,right,00002304,00002312,B,A,A,False,0.31,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:15
G_2394_frgp14,genuine,14,left,00002394,00002394,A,A,A,True,0.39,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:15
I_00002304_00002463_frgp13,impostor,13,right,00002304,00002463,B,A,A,False,0.309,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:16
I_00002330_00002447_frgp14,impostor,14,left,00002330,00002447,B,A,A,False,0.307,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:16
I_00002304_00002386_frgp13,impostor,13,right,00002304,00002386,B,A,A,False,0.31,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:16
G_2351_frgp13,genuine,13,right,00002351,00002351,A,A,A,True,0.384,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:17
G_2418_frgp14,genuine,14,left,00002418,00002418,A,A,A,True,0.392,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:17
I_00002304_00002425_frgp13,impostor,13,right,00002304,00002425,B,A,A,False,0.309,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:17
G_2359_frgp13,genuine,13,right,00002359,00002359,A,A,A,True,0.399,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:18
G_2392_frgp14,genuine,14,left,00002392,00002392,A,A,A,True,0.392,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:18
I_00002304_00002341_frgp13,impostor,13,right,00002304,00002341,B,A,A,False,0.308,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:18
I_00002330_00002339_frgp14,impostor,14,left,00002330,00002339,B,A,A,False,0.308,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:19
G_2403_frgp13,genuine,13,right,00002403,00002403,A,A,A,True,0.391,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:19
G_2373_frgp13,genuine,13,right,00002373,00002373,A,A,A,True,0.39,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:19
G_2394_frgp13,genuine,13,right,00002394,00002394,A,A,A,True,0.388,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:20
I_00002330_00002326_frgp14,impostor,14,left,00002330,00002326,B,A,A,False,0.307,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:20
G_2462_frgp13,genuine,13,right,00002462,00002462,A,A,A,True,0.385,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:20
G_2384_frgp14,genuine,14,left,00002384,00002384,A,A,A,True,0.394,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:21
I_00002330_00002412_frgp14,impostor,14,left,00002330,00002412,B,A,A,False,0.31,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:21
G_2353_frgp13,genuine,13,right,00002353,00002353,A,A,A,True,0.39,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:22
I_00002304_00002348_frgp13,impostor,13,right,00002304,00002348,B,A,A,False,0.31,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:22
G_2375_frgp13,genuine,13,right,00002375,00002375,A,A,A,True,0.394,Qwen2.5-VL-7B-Instruct,task_description,2026-05-24T17:40:22
